,dummyLocation,gpsPerturbated,dumRadMin,dumRadStep,pertDec,alpha,tradeOff
4,False,True,-1,-1,5,0.558,0.44199999999999995
4,False,True,-1,-1,5,0.56,0.43999999999999995
0,False,True,-1,-1,1,0.562,0.4408616879711681
0,False,True,-1,-1,1,0.564,0.44243059077533586
0,False,True,-1,-1,1,0.566,0.44399949357950375
0,False,True,-1,-1,1,0.568,0.44556839638367157
0,False,True,-1,-1,1,0.57,0.44713729918783945
0,False,True,-1,-1,1,0.572,0.44870620199200734
0,False,True,-1,-1,1,0.574,0.45027510479617516
0,False,True,-1,-1,1,0.576,0.45184400760034305
0,False,True,-1,-1,1,0.578,0.45341291040451087
0,False,True,-1,-1,1,0.58,0.45498181320867875
0,False,True,-1,-1,1,0.582,0.45655071601284664
0,False,True,-1,-1,1,0.584,0.45811961881701446
0,False,True,-1,-1,1,0.586,0.45968852162118234
0,False,True,-1,-1,1,0.588,0.46125742442535017
0,False,True,-1,-1,1,0.59,0.46282632722951805
0,False,True,-1,-1,1,0.592,0.46439523003368594
0,False,True,-1,-1,1,0.594,0.46596413283785376
0,False,True,-1,-1,1,0.596,0.46753303564202164
0,False,True,-1,-1,1,0.598,0.46910193844618947
0,False,True,-1,-1,1,0.6,0.47067084125035735
0,False,True,-1,-1,1,0.602,0.4722397440545252
0,False,True,-1,-1,1,0.604,0.47380864685869306
0,False,True,-1,-1,1,0.606,0.47537754966286094
0,False,True,-1,-1,1,0.608,0.47694645246702877
0,False,True,-1,-1,1,0.61,0.47851535527119665
0,False,True,-1,-1,1,0.612,0.4800842580753645
0,False,True,-1,-1,1,0.614,0.48165316087953236
0,False,True,-1,-1,1,0.616,0.48322206368370024
0,False,True,-1,-1,1,0.618,0.48479096648786807
0,False,True,-1,-1,1,0.62,0.48635986929203595
0,False,True,-1,-1,1,0.622,0.4879287720962038
0,False,True,-1,-1,1,0.624,0.48949767490037166
0,False,True,-1,-1,1,0.626,0.49106657770453954
0,False,True,-1,-1,1,0.628,0.49263548050870737
0,False,True,-1,-1,1,0.63,0.49420438331287525
0,False,True,-1,-1,1,0.632,0.4957732861170431
0,False,True,-1,-1,1,0.634,0.49734218892121096
0,False,True,-1,-1,1,0.636,0.4989110917253788
0,False,True,-1,-1,1,0.638,0.5004799945295467
0,False,True,-1,-1,1,0.64,0.5020488973337145
0,False,True,-1,-1,1,0.642,0.5036178001378824
0,False,True,-1,-1,1,0.644,0.5051867029420503
0,False,True,-1,-1,1,0.646,0.5067556057462181
0,False,True,-1,-1,1,0.648,0.508324508550386
0,False,True,-1,-1,1,0.65,0.5098934113545538
0,False,True,-1,-1,1,0.652,0.5114623141587217
0,False,True,-1,-1,1,0.654,0.5130312169628896
0,False,True,-1,-1,1,0.656,0.5146001197670574
0,False,True,-1,-1,1,0.658,0.5161690225712252
0,False,True,-1,-1,1,0.66,0.5177379253753931
0,False,True,-1,-1,1,0.662,0.519306828179561
0,False,True,-1,-1,1,0.664,0.5208757309837289
0,False,True,-1,-1,1,0.666,0.5224446337878967
0,False,True,-1,-1,1,0.668,0.5240135365920645
0,False,True,-1,-1,1,0.67,0.5255824393962324
0,False,True,-1,-1,1,0.672,0.5271513422004003
0,False,True,-1,-1,1,0.674,0.5287202450045682
0,False,True,-1,-1,1,0.676,0.530289147808736
0,False,True,-1,-1,1,0.678,0.5318580506129038
0,False,True,-1,-1,1,0.68,0.5334269534170717
0,False,True,-1,-1,1,0.682,0.5349958562212396
0,False,True,-1,-1,1,0.684,0.5365647590254075
